,location.postalCode,location.lat,location.lng,categories
92,M4A,43.72199578771147,-79.31176663451103,Radio Station
93,M4A,43.719006434836444,-79.31365565438723,Conference Room
94,M4A,43.72182,-79.313617,Automotive Shop
95,M4A,43.721689396158936,-79.31280111311008,Automotive Shop
96,M4A,43.730465,-79.30752,German Restaurant
97,M4A,43.721902,-79.312945,Hobby Shop
98,M4A,43.72204222212626,-79.3165812644362,Other Great Outdoors
99,M4A,43.723972237085476,-79.31712598976469,Trade School
100,M4A,43.72293919373587,-79.31554132542422,Building
101,M4A,43.720769,-79.313543,Food
102,M3C,43.72644739537341,-79.32301872387693,Dog Run
103,M4A,43.7284,-79.3093,Other Nightlife
104,M3C,43.727826672556496,-79.32477430846406,Residential Building (Apartment / Condo)
105,M4A,43.72089159487593,-79.31188218854088,Gym / Fitness Center
106,M4A,43.7197265625,-79.31465911865234,Bus Stop
107,M4A,43.718902587890625,-79.31396484375,Bus Stop
108,M4A,43.72462847932771,-79.30588969793787,Park
109,M4A,43.722992,-79.309852,Housing Development
110,M4A,43.720388,-79.312091,Transportation Service
111,M4A,43.71926435044705,-79.3106000810486,Hotel
112,M4A,43.727516,-79.31808,Residential Building (Apartment / Condo)
113,M3C,43.72572148320205,-79.32022371064538,Library
114,M3C,43.727206661023764,-79.327216588142,Bank
115,M4A,43.719732920431674,-79.31401716097572,Sporting Goods Shop
116,M4A,43.724699901572876,-79.31946992303678,Building
117,M4A,43.72582137771449,-79.30980769679083,Residential Building (Apartment / Condo)
118,M3C,43.72818697381887,-79.32586867069983,Residential Building (Apartment / Condo)
0,M5A,43.653966,-79.360752,Café
1,M5A,43.65465604258614,-79.35987064632435,Park
2,M5A,43.65355870959944,-79.36180945913513,Coffee Shop
3,M5A,43.65473505045365,-79.35987433132891,Spa
4,M5V,43.64313658652637,-79.40654419686578,Moving Target
5,M5A,43.6547847634771,-79.36151313866426,Moving Target
6,M5A,43.65189965670432,-79.36560912104514,Coffee Shop
7,M5A,43.653903,-79.360018,Gourmet Shop
8,M4M,43.65419500779484,-79.3605451979777,Automotive Shop
9,M5A,43.653446723052674,-79.3620167174383,Bakery
10,M5A,43.65151977053267,-79.36480432102199,Building
11,M5A,43.653911,-79.361395,Cocktail Bar
12,M5A,43.65481,-79.359595,Italian Restaurant
13,M5A,43.65353579108864,-79.36201572418213,Flower Shop
14,M5A,43.65538,-79.35871,Office
15,M5A,43.65565,-79.35869,Automotive Shop
16,M5A,43.654938,-79.360975,Library
17,M5A,43.65396607597698,-79.36166162867167,Furniture / Home Store
18,M5A,43.655757,-79.358012,Street Art
19,M5A,43.65345988068375,-79.36337199643683,Furniture / Home Store
20,M4M,43.66001333517798,-79.34475839138031,Light Rail Station
21,M5A,43.65637195011159,-79.36129315303127,Hardware Store
22,M5A,43.653877,-79.358406,Auto Dealership
23,M5A,43.654175,-79.36102,Salon / Barbershop
24,M5A,43.653152574922764,-79.36066069143106,Furniture / Home Store
